"Country","Articles","DI","name","value","collaboration"
"UNITED STATES ",2000,"GISAID","SCP",510,"SCP"
"UNITED STATES ",2000,"GISAID","MCP",1490,"MCP"
"UNITED STATES ",175,"ENA","SCP",52,"SCP"
"UNITED STATES ",175,"ENA","MCP",123,"MCP"
"UNITED KINGDOM",133,"ENA","SCP",25,"SCP"
"UNITED KINGDOM",133,"ENA","MCP",108,"MCP"
"CHINA         ",1068,"GISAID","SCP",236,"SCP"
"CHINA         ",1068,"GISAID","MCP",832,"MCP"
"GERMANY       ",80,"ENA","SCP",7,"SCP"
"GERMANY       ",80,"ENA","MCP",73,"MCP"
"ITALY         ",78,"ENA","SCP",32,"SCP"
"ITALY         ",78,"ENA","MCP",46,"MCP"
"INDIA         ",75,"ENA","SCP",37,"SCP"
"INDIA         ",75,"ENA","MCP",38,"MCP"
"CHINA         ",72,"ENA","SCP",15,"SCP"
"CHINA         ",72,"ENA","MCP",57,"MCP"
"FRANCE        ",71,"ENA","SCP",13,"SCP"
"FRANCE        ",71,"ENA","MCP",58,"MCP"
"INDIA         ",571,"GISAID","SCP",210,"SCP"
"INDIA         ",571,"GISAID","MCP",361,"MCP"
"UNITED KINGDOM",499,"GISAID","SCP",76,"SCP"
"UNITED KINGDOM",499,"GISAID","MCP",423,"MCP"
"SPAIN         ",48,"ENA","SCP",6,"SCP"
"SPAIN         ",48,"ENA","MCP",42,"MCP"
"ITALY         ",425,"GISAID","SCP",103,"SCP"
"ITALY         ",425,"GISAID","MCP",322,"MCP"
"SWITZERLAND   ",32,"ENA","SCP",5,"SCP"
"SWITZERLAND   ",32,"ENA","MCP",27,"MCP"
"GERMANY       ",319,"GISAID","SCP",44,"SCP"
"GERMANY       ",319,"GISAID","MCP",275,"MCP"
"JAPAN         ",289,"GISAID","SCP",75,"SCP"
"JAPAN         ",289,"GISAID","MCP",214,"MCP"
"BRAZIL        ",283,"GISAID","SCP",49,"SCP"
"BRAZIL        ",283,"GISAID","MCP",234,"MCP"
"FRANCE        ",275,"GISAID","SCP",48,"SCP"
"FRANCE        ",275,"GISAID","MCP",227,"MCP"
"CANADA        ",271,"GISAID","SCP",55,"SCP"
"CANADA        ",271,"GISAID","MCP",216,"MCP"
"IRAN          ",25,"ENA","SCP",8,"SCP"
"IRAN          ",25,"ENA","MCP",17,"MCP"
"NETHERLANDS   ",24,"ENA","SCP",3,"SCP"
"NETHERLANDS   ",24,"ENA","MCP",21,"MCP"
"BRAZIL        ",23,"ENA","SCP",9,"SCP"
"BRAZIL        ",23,"ENA","MCP",14,"MCP"
"CANADA        ",23,"ENA","SCP",4,"SCP"
"CANADA        ",23,"ENA","MCP",19,"MCP"
"AUSTRALIA     ",226,"GISAID","SCP",35,"SCP"
"AUSTRALIA     ",226,"GISAID","MCP",191,"MCP"
"SPAIN         ",193,"GISAID","SCP",32,"SCP"
"SPAIN         ",193,"GISAID","MCP",161,"MCP"
"AUSTRALIA     ",19,"ENA","SCP",3,"SCP"
"AUSTRALIA     ",19,"ENA","MCP",16,"MCP"
"BELGIUM       ",19,"ENA","SCP",4,"SCP"
"BELGIUM       ",19,"ENA","MCP",15,"MCP"
"SOUTH AFRICA  ",17,"ENA","SCP",2,"SCP"
"SOUTH AFRICA  ",17,"ENA","MCP",15,"MCP"
"EGYPT         ",16,"ENA","SCP",5,"SCP"
"EGYPT         ",16,"ENA","MCP",11,"MCP"
"RUSSIA        ",15,"ENA","SCP",5,"SCP"
"RUSSIA        ",15,"ENA","MCP",10,"MCP"
"TURKEY        ",15,"ENA","SCP",7,"SCP"
"TURKEY        ",15,"ENA","MCP",8,"MCP"
"JAPAN         ",14,"ENA","SCP",2,"SCP"
"JAPAN         ",14,"ENA","MCP",12,"MCP"
"BANGLADESH    ",128,"GISAID","SCP",30,"SCP"
"BANGLADESH    ",128,"GISAID","MCP",98,"MCP"
"SOUTH KOREA   ",125,"GISAID","SCP",38,"SCP"
"SOUTH KOREA   ",125,"GISAID","MCP",87,"MCP"
"SWITZERLAND   ",123,"GISAID","SCP",9,"SCP"
"SWITZERLAND   ",123,"GISAID","MCP",114,"MCP"
"NETHERLANDS   ",114,"GISAID","SCP",17,"SCP"
"NETHERLANDS   ",114,"GISAID","MCP",97,"MCP"
"ISRAEL        ",110,"GISAID","SCP",30,"SCP"
"ISRAEL        ",110,"GISAID","MCP",80,"MCP"
"RUSSIA        ",97,"GISAID","SCP",23,"SCP"
"RUSSIA        ",97,"GISAID","MCP",74,"MCP"
"SOUTH AFRICA  ",93,"GISAID","SCP",6,"SCP"
"SOUTH AFRICA  ",93,"GISAID","MCP",87,"MCP"
"BELGIUM       ",88,"GISAID","SCP",14,"SCP"
"BELGIUM       ",88,"GISAID","MCP",74,"MCP"
