"CD19DP.total.submissions","country","percent"
2222832,"United Kingdom",63.765
447069,"Germany",12.825
403059,"Denmark",11.562
152532,"Switzerland",4.376
48011,"France",1.377
35825,"Slovakia",1.028
25539,"Iceland",0.733
16678,"New Zealand",0.478
16049,"Mexico",0.46
13035,"Australia",0.374
12021,"Brazil",0.345
10645,"Bahrain",0.305
8114,"Japan",0.233
7865,"Kenya",0.226
4880,"South Africa",0.14
4761,"Thailand",0.137
4109,"India",0.118
3234,"Nigeria",0.093
2604,"Puerto Rico",0.075
2503,"Vietnam",0.072
